Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/sarthakshukla/Desktop/MorphTest/GallWasps_Morph.nex.run1.t
Data File Name:                  /Users/sarthakshukla/Desktop/MorphTest/gallwasps_charmatrix.txt
Log File Name:                   1000TreesDependentTest.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2033153405
Analsis Type:                    Maximum Likelihood
ML Attempt Per Tree:             10
ML Max Evaluations:              20000
ML Tolerance:                    0.000001
ML Algorithm:                    BOBYQA
Rate Range:                      0.000000 - 100.000000
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1001
     Taxa:                       41
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
169	-36.527288	99.995807	87.496328	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
170	-36.527288	99.999872	87.499894	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
171	-36.527290	100.000000	87.499996	50.000098	100.000000	0.250000	0.250000	0.250000	0.250000	
172	-36.515276	100.000000	87.500070	4.238632	9.381632	0.249888	0.250112	0.249888	0.250112	
173	-35.918165	100.000000	87.500005	2.010540	5.779868	0.230259	0.269741	0.230259	0.269741	
174	-35.887914	100.000000	87.500055	1.754541	4.982998	0.243281	0.256719	0.243281	0.256719	
175	-36.040380	100.000000	87.500399	2.044363	5.872365	0.242819	0.257181	0.242819	0.257181	
176	-36.513156	19.659537	17.184382	50.000002	100.000000	0.250000	0.250000	0.250000	0.250000	
177	-36.527287	99.989125	87.490502	50.000004	100.000000	0.250000	0.250000	0.250000	0.250000	
178	-36.488018	20.274578	17.613843	20.707593	41.371664	0.250000	0.250000	0.250000	0.250000	
179	-36.497758	16.556176	14.402113	15.075117	30.106269	0.250000	0.250000	0.250000	0.250000	
180	-36.520121	30.379545	26.541594	16.812803	33.534714	0.250000	0.250000	0.250000	0.250000	
181	-36.475788	14.897654	12.937302	14.590457	29.134475	0.250000	0.250000	0.250000	0.250000	
182	-36.527337	100.000000	87.500266	50.001254	100.000000	0.250000	0.250000	0.250000	0.250000	
183	-36.499521	20.565537	17.853665	19.619393	39.186888	0.250000	0.250000	0.250000	0.250000	
184	-36.527288	75.787449	66.314029	50.000017	100.000000	0.250000	0.250000	0.250000	0.250000	
185	-36.527296	100.000000	87.500028	50.000293	100.000000	0.250000	0.250000	0.250000	0.250000	
